
****************************************************
*****************                  *****************
***********                              ***********
******                                        ******
***Job: LoadTCMIP started 01/Mar/2024 11:22:20AM****
******                                        ******
***********                              ***********
*****************                  *****************
****************************************************

Last Modified Date                 : 09/13/2023
Total No.of Columns fetched        : 6
Link Notebook/Business Function    : true
Link Requirement                   : true
Link WI/Defect/CO                  : false
SQL Statement                      : select a.nb, a.nb_bf, b.sak_participant, upper(trim(b.nam_first)||' '||trim(b.nam_last)) owner, a.env, a.subsystem_tc, a.nam, replace(a.dsc, CHR(9),'') as dsc, replace(a.dsc_expect, CHR(9),'') as dsc_expect, a.grpng, nvl(trim(a.wi_test_case), ' ') wi_test_case, tc_row, nvl(trim(d.dsc), ' ') wi_type, nvl(trim(a.id_req), ' ') id_req from rvattumi.load_tc a, co_participant b, co c, co_type d where c.sak_csr(+) = a.wi_test_case and d.sak_csr_type(+) = c.sak_csr_type and testcase_id is null and upper(trim(b.nam_first)||' '||trim(b.nam_last)) = upper(trim(a.owner)) order by tc_row asc
No.of Cols                         : 14
Query Execution Time(ms)           : 238
Total No.of Rows fetched           : 13
*****************************************************************
Started at                         : Fri Mar 01 11:22:27 EST 2024
Creating test case for Row #       : 4693
Total No.of Columns fetched        : 5
Validation Time(ms)                : 461
Validation status                  : PASS
Short Desc                         : CBHC - CT M, Medicare Adv primary - 7 digit carrier code
Env                                : A
Subsystem                          : Claims Adjudication and Pricing
SAK Participant                    : 337
Owner                              : RAHUL YALAMANCHILI
Grouping                           : CLAIMS PROCESSING
Long Desc                          : Submit a claim with the following criteria: " CT M, PT C4 " 1 payer present on the claim " Medicare Advantage is primary, use 7 digit carrier code " T1040 Procedure code & HA/HB mod present on 1 detail " CBHC Bundle proc cde (grp 201) on at least 1 detail " Non-CBHC proc code on at least 1 detail
Expected Results                   : Payer paid Amt from the CBHC Bundled proc cde dtl should accumulate for the T1040 dtls line " Bundle proc cde dtl should pay $0 " Line with T1040 will have a TPL repricing method `D' (Masshealth allowed - payer paid amt). " Edit 2642 should be posted on the detail " Non-CHBC proc cde dtl should price per TPL rules COB flags will be reset  Both PPA and PR will be moved to T1040
Test Case ID for Row 4693          : 47055
Total No.of Columns fetched        : 1
Requirement ID                     : 37535.04.001
Total No.of Columns fetched        : 2
Requirement Type                   : Batch-Claims Engine
SAK Requirement Type               : 13
Requirement linked for test case   : 47055
Notebook                           : 2023 Pre-AWS Contingency Release
Business Function                  : 2023 Pre-AWS Contingency Release
Notebook/BF linked for test case   : 47055
Finished at                        : Fri Mar 01 11:22:32 EST 2024
*****************************************************************
Started at                         : Fri Mar 01 11:22:32 EST 2024
Creating test case for Row #       : 4694
Total No.of Columns fetched        : 5
Validation Time(ms)                : 429
Validation status                  : PASS
Short Desc                         : CBHC - CT M, Commercial primary -same first 4 digit as Medicare advantage
Env                                : A
Subsystem                          : Claims Adjudication and Pricing
SAK Participant                    : 337
Owner                              : RAHUL YALAMANCHILI
Grouping                           : CLAIMS PROCESSING
Long Desc                          : Submit a claim with the following criteria: " CT M, PT C4 " 1 payer present on the claim " Commercial is primary, use the first 4 digit carrier code similar to Medicare Advantage " T1040 Procedure code & HA/HB mod present on 1 detail " CBHC Bundle proc cde (grp 201) on at least 1 detail " Non-CBHC proc code on at least 1 detail
Expected Results                   : Post edit 2654 Commercial Payer Cannot Be Primary For CBHC on details " Non-CHBC proc cde dtl should price per TPL rules
Test Case ID for Row 4694          : 47056
Total No.of Columns fetched        : 1
Requirement ID                     : 37535.04.001
Total No.of Columns fetched        : 2
Requirement Type                   : Batch-Claims Engine
SAK Requirement Type               : 13
Requirement linked for test case   : 47056
Notebook                           : 2023 Pre-AWS Contingency Release
Business Function                  : 2023 Pre-AWS Contingency Release
Notebook/BF linked for test case   : 47056
Finished at                        : Fri Mar 01 11:22:36 EST 2024
*****************************************************************
Started at                         : Fri Mar 01 11:22:36 EST 2024
Creating test case for Row #       : 4695
Total No.of Columns fetched        : 5
Validation Time(ms)                : 422
Validation status                  : PASS
Short Desc                         : CBHC - CT M, mlt payers, Medicare Adv primary
Env                                : A
Subsystem                          : Claims Adjudication and Pricing
SAK Participant                    : 337
Owner                              : RAHUL YALAMANCHILI
Grouping                           : CLAIMS PROCESSING
