
****************************************************
*****************                  *****************
***********                              ***********
******                                        ******
***Job: LoadTCMIP started 14/Aug/2024 10:45:14AM****
******                                        ******
***********                              ***********
*****************                  *****************
****************************************************

Last Modified Date                 : 04/02/2024
Link Notebook/Business Function    : true
Link Requirement                   : true
Link WI/Defect/CO                  : false
SQL Statement                      : select a.nb, a.nb_bf, b.sak_participant, upper(trim(b.nam_first)||' '||trim(b.nam_last)) owner, a.env, a.subsystem_tc, a.nam, replace(a.dsc, CHR(9),'') as dsc, replace(a.dsc_expect, CHR(9),'') as dsc_expect, a.grpng, nvl(trim(a.wi_test_case), ' ') wi_test_case, tc_row, nvl(trim(d.dsc), ' ') wi_type, nvl(trim(a.id_req), ' ') id_req from rvattumi.load_tc a, co_participant b, co c, co_type d where c.sak_csr(+) = a.wi_test_case and d.sak_csr_type(+) = c.sak_csr_type and testcase_id is null and upper(trim(b.nam_first)||' '||trim(b.nam_last)) = upper(trim(a.owner)) order by tc_row asc
No.of Cols                         : 14
Query Execution Time(ms)           : 207
Total No.of Rows fetched           : 12
*****************************************************************
Started at                         : Wed Aug 14 10:45:22 EDT 2024
Creating test case for Row #       : 5419
Validation Time(ms)                : 775
TC Validation status               : PASS
Short Desc                         : CNS Load File name Format
Env                                : M
Subsystem                          : Member Management
SAK Participant                    : 967
Owner                              : TARUN ANNE
Grouping                           : DCR
Long Desc                          : The naming convention for the CNS load flat file  would be " CNS_Load__YYYYMMDDHRMISS.TXT"
Expected Results                   : The naming convention " CNS_Load__YYYYM MDDHRMISS.TXT" will be there as expected.
Test Case ID for Row 5419          : 47686
Requirement ID                     : 37806.01.005
Requirement Type                   : Batch
SAK Requirement Type               : 12
Requirement linked for test case   : 47686
Notebook                           : CNS Initial Load
Business Function                  : CNS Initial Load
Notebook/BF linked for test case   : 47686
Finished at                        : Wed Aug 14 10:45:28 EDT 2024
*****************************************************************
Started at                         : Wed Aug 14 10:45:28 EDT 2024
Creating test case for Row #       : 5420
Validation Time(ms)                : 773
TC Validation status               : PASS
Short Desc                         : Comm & Accom Table check
Env                                : M
Subsystem                          : Member Management
SAK Participant                    : 967
Owner                              : TARUN ANNE
Grouping                           : DCR
Long Desc                          : Validate the CNS_Load file data came from HIX and MA21 to the two tables T_RE_COMMUNICATION and T_RE_ACCOMODATION.
Expected Results                   : The CNS_Load file data is loaded to the two tables  T_RE_COMMUNICATION and T_RE_ACCOMODATION daily as expected.
Test Case ID for Row 5420          : 47687
Requirement ID                     : 37806.01.020
Requirement Type                   : Batch
SAK Requirement Type               : 12
Requirement linked for test case   : 47687
Notebook                           : CNS Initial Load
Business Function                  : CNS Initial Load
Notebook/BF linked for test case   : 47687
Finished at                        : Wed Aug 14 10:45:34 EDT 2024
*****************************************************************
Started at                         : Wed Aug 14 10:45:34 EDT 2024
Creating test case for Row #       : 5421
Validation Time(ms)                : 762
TC Validation status               : PASS
Short Desc                         : Error report with MID & error code
Env                                : M
Subsystem                          : Member Management
SAK Participant                    : 967
Owner                              : TARUN ANNE
Grouping                           : DCR
