
****************************************************
*****************                  *****************
***********                              ***********
******                                        ******
***Job: LoadTCMIP started 24/Jan/2025 11:04:38AM****
******                                        ******
***********                              ***********
*****************                  *****************
****************************************************

Last Modified Date                    : 01/08/2025
****************************************************
SQL Statement                         : select a.nb, a.nb_bf, b.sak_participant, upper(trim(b.nam_first)||' '||trim(b.nam_last)) owner, a.env, a.subsystem_tc, a.nam, replace(a.dsc, CHR(9),'') as dsc, replace(a.dsc_expect, CHR(9),'') as dsc_expect, a.grpng, nvl(trim(a.wi_test_case), ' ') wi_test_case, tc_row, nvl(trim(d.dsc), ' ') wi_type, nvl(trim(a.id_req), ' ') id_req from rvattumi.load_tc a, co_participant b, co c, co_type d where c.sak_csr(+) = a.wi_test_case and d.sak_csr_type(+) = c.sak_csr_type and testcase_id is null and upper(trim(b.nam_first)||' '||trim(b.nam_last)) = upper(trim(a.owner)) and a.ind_status != 'P' order by tc_row asc
No.of Cols                            : 14
Query Execution Time(ms)              : 166
Total No.of Rows fetched              : 18
Link Notebook/Business Function       : true
Link Requirement                      : true
Link WI/Defect/CO                     : false
*****************************************************************
Started at                            : Fri Jan 24 11:04:45 EST 2025
Creating test case for Row #          : 5809
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 516
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:04:46 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:04:46 EST 2025
Creating test case for Row #          : 5810
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 508
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:04:48 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:04:48 EST 2025
Creating test case for Row #          : 5811
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 512
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:04:50 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:04:50 EST 2025
Creating test case for Row #          : 5812
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 516
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:04:52 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:04:52 EST 2025
Creating test case for Row #          : 5813
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 544
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:04:53 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:04:53 EST 2025
Creating test case for Row #          : 5814
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 554
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:04:55 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:04:55 EST 2025
Creating test case for Row #          : 5815
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 539
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:04:57 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:04:57 EST 2025
Creating test case for Row #          : 5816
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 770
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:04:59 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:04:59 EST 2025
Creating test case for Row #          : 5817
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 1145
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:05:01 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:05:01 EST 2025
Creating test case for Row #          : 5818
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 514
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:05:03 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:05:03 EST 2025
Creating test case for Row #          : 5819
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 1069
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:05:05 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:05:05 EST 2025
Creating test case for Row #          : 5820
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 550
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:05:07 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:05:07 EST 2025
Creating test case for Row #          : 5821
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 539
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:05:08 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:05:08 EST 2025
Creating test case for Row #          : 5822
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 845
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:05:10 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:05:10 EST 2025
Creating test case for Row #          : 5823
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
Validation Time(ms)                   : 502
TC Validation status                  : FAIL
Finished at                           : Fri Jan 24 11:05:12 EST 2025
*****************************************************************
Started at                            : Fri Jan 24 11:05:12 EST 2025
Creating test case for Row #          : 5824
Subsystem                             : Managed care
Subsystem Validation                  : Verify Subsystem for the Test case
