
****************************************************
*****************                  *****************
***********                              ***********
******                                        ******
***Job: LoadTCMIP started 31/Jan/2024 11:13:37AM****
******                                        ******
***********                              ***********
*****************                  *****************
****************************************************

Last Modified Date                 : 09/13/2023
Cred SQL                           : select a.host_url, a.user_id, a.passkey MIP_KEY, a.password MIP_PWD, b.passkey USER_KEY, b.password USER_PWD from v_user_login a, v_user_login b where a.type = 'MIP' and b.type = 'System' and a.days_to_reset_pwd > 2 and b.days_to_reset_pwd > 2
Query Execution Time(ms)           : 74
Total No.of Columns fetched        : 6
MIP URL                            : http://mmis.techkc.ehs.state.ma.us/zMIP/utils/PortalLogin.asp
Link Notebook/Business Function    : true
Link Requirement                   : true
Link WI/Defect/CO                  : false
SQL Statement                      : select a.nb, a.nb_bf, b.sak_participant, upper(trim(b.nam_first)||' '||trim(b.nam_last)) owner, a.env, a.subsystem_tc, a.nam, replace(a.dsc, CHR(9),'') as dsc, replace(a.dsc_expect, CHR(9),'') as dsc_expect, a.grpng, nvl(trim(a.wi_test_case), ' ') wi_test_case, tc_row, nvl(trim(d.dsc), ' ') wi_type, nvl(trim(a.id_req), ' ') id_req from rvattumi.load_tc a, co_participant b, co c, co_type d where c.sak_csr(+) = a.wi_test_case and d.sak_csr_type(+) = c.sak_csr_type and testcase_id is null and upper(trim(b.nam_first)||' '||trim(b.nam_last)) = upper(trim(a.owner)) order by tc_row asc
No.of Cols                         : 14
Query Execution Time(ms)           : 149
Total No.of Rows fetched           : 18
*****************************************************************
Started at                         : Wed Jan 31 11:13:45 EST 2024
Creating test case for Row #       : 4675
Validate TC SQL                    : select case when (select count(*) from requirement e where trim(e.id_req) = '') = 1 then 1 else 0 end as req, case when (select count(*) from subsystem_area f where trim(f.nam) = 'Reference') = 1 then 1 else 0 end as subsystem, case when (select count(*) from test_case_grouping g where trim(g.nam) = 'REFERENCE PANELS') = 1 then 1 else 0 end as grpng, case when (select count(*) from groop h where trim(h.nam_group) = 'Dev Mod Base App') = 1 then 1 else 0 end as bf, case when (select count(*) from environment i where trim(i.ind_environment) = 'M') = 1 then 1 else 0 end as env from dual
Query Execution Time(ms)           : 50
Total No.of Columns fetched        : 5
Validation Time(ms)                : 512
Validation status                  : PASS
Short Desc                         : Benefit Plan Group Type Maintenance
Env                                : M
Subsystem                          : Reference
SAK Participant                    : 639
Owner                              : RABIK SHRESTHA
Grouping                           : REFERENCE PANELS
Long Desc                          : Verify Panel: "Benefit Plan Group Type Maintenance" is accessible or not. If the panel accepts inputs, verify input and click search or save the data.  If input data is valid than it generates data/reports.  <b> Path: MMIS --> Reference --> related data --> Codes --> Benefit Plan Group Type --> Benefit Plan Group Type Maintenance</b>
Expected Results                   : Verify panel is accessible and data is displayed or reports are generated.
Test Case ID for Row 4675          : 46998
Query Execution Time(ms)           : 86
Total No.of Columns fetched        : 1
Notebook                           : Dev Mod Testing
Business Function                  : Dev Mod Base App
Notebook/BF linked for test case   : 46998
Finished at                        : Wed Jan 31 11:13:49 EST 2024
*****************************************************************
Started at                         : Wed Jan 31 11:13:49 EST 2024
Creating test case for Row #       : 4676
Validate TC SQL                    : select case when (select count(*) from requirement e where trim(e.id_req) = '') = 1 then 1 else 0 end as req, case when (select count(*) from subsystem_area f where trim(f.nam) = 'Reference') = 1 then 1 else 0 end as subsystem, case when (select count(*) from test_case_grouping g where trim(g.nam) = 'REFERENCE PANELS') = 1 then 1 else 0 end as grpng, case when (select count(*) from groop h where trim(h.nam_group) = 'Dev Mod Base App') = 1 then 1 else 0 end as bf, case when (select count(*) from environment i where trim(i.ind_environment) = 'M') = 1 then 1 else 0 end as env from dual
Query Execution Time(ms)           : 39
Total No.of Columns fetched        : 5
Validation Time(ms)                : 484
Validation status                  : PASS
Short Desc                         : Benefit Plan Group
Env                                : M
Subsystem                          : Reference
SAK Participant                    : 639
Owner                              : RABIK SHRESTHA
Grouping                           : REFERENCE PANELS
Long Desc                          : Verify Panel: "Benefit Plan Group" is accessible or not. If the panel accepts inputs, verify input and click search or save the data.  If input data is valid than it generates data/reports.  <b> Path: MMIS --> Reference --> related data --> Codes --> Benefit Plan Group Type --> Benefit Plan Group</b>
Expected Results                   : Verify panel is accessible and data is displayed or reports are generated.
Test Case ID for Row 4676          : 46999
Query Execution Time(ms)           : 104
